Lachnospiraceae_BVAB1,BVAB1
Prevotella_cluster2,Pcl2
Megasphaera_OTU70_type1,Mty1
Sneathia_amnii,Samn
TM7_OTU-H1,TM7
Dialister_cluster51,Dcl51
Prevotella_amnii,Pamn
Clostridiales_BVAB2,BVAB2
Dialister_micraerophilus,Dmic
Parvimonas_OTU142,P142
Coriobacteriaceae_OTU27,CO27
Prevotella_cluster50,Pcl50
Lactobacillus_crispatus_cluster,Lcricl
Sneathia_sanguinegens,Ssan
Aerococcus_christensenii,Achr
Lactobacillus_jensenii,Ljens
Lactobacillus_gasseri_cluster,Lgass
Prevotella_bivia,Pbiv
Finegoldia_magna,Fmagn
Prevotellaceae_OTU61,PO61
Aerococcus christensenii,Achr
Atopobium vaginae,Avag
Clostridiales BVAB2,BVAB2
Clostridiales OTU22,CL22
Coriobacteriaceae OTU27,CO27
Corynebacterium cluster 45,C45
Dialister cluster 51,Dcl51
Dialister micraerophilus,Dmic
Dialister propionicifaciens,Dppf
Enterobacteriaceae cluster 31,ENcl31
Fusobacterium cluster 48,F48
Finegoldia magna,Fmag
Gardnerella vaginalis,Gvag
Gemella morbillorum cluster,Gmorcl
Gemella OTU86,G86
Haemophilus cluster 60,Hcl60
Lachnospiraceae BVAB1,BVAB1
Lactobacillus coleohominis,Lcol
Lactobacillus crispatus_cluster,Lcricl
Lactobacillus cripatus_cluster,Lcricl
Lactobacillus crispatus_cluster,Lcricl
Lactobacillus gasseri cluster,Lgas
Lactobacillus gasseri_cluster,Lgas
Lactobacillus iners,Line
Lactobacillus jensenii,Ljen
Lactobacillus vaginalis,Lvag
Megasphaera type1_OTU70,Mty1
Megasphaera type2_OTU71 ,Mty2
Megasphaera OTU70_type1,Mty1
Mycoplasma hominis,Mhom
Parvimonas OTU142,P142
Porphyromonas bennonis,Pben
Prevotella amnii,Pamn
Prevotella bivia,Pbiv
Prevotella cluster 2 (Note: contains P. timonensis),Pcl2
Prevotella cluster 50,P50
Prevotella corporis,Pcor
Prevotella OTU49,P49
Prevotella timonensis,Ptim
Prevotellaceae OTU61,PR61
Sneathia amnii,Samn
Sneathia sanguinegens,Ssan
Staphylococcus cluster 47,S47
Streptococcus anginosus,Sang
Streptococcus cluster 29,Strepcl29
Streptococcus salivarius cluster,Ssalcl
TM7-H1,TM7-H1
Ureaplasma cluster23,Ucl23
Lachnospiraceae BVAB1,BVAB1
Prevotella cluster2,Pcl2
Megasphaera OTU70 type1,Mty1
Sneathia amnii,Samn
TM7 OTU-H1,TM7
Dialister cluster51,Dcl51
Prevotella amnii,Pamn
Clostridiales BVAB2,BVAB2
Dialister micraerophilus,Dmic
Parvimonas OTU142,P142
Mobiluncus curtisii,Mblc
Aerococcus_christensenii,Achr
Atopobium_vaginae,Avag
Clostridiales_BVAB2,BVAB2
Clostridiales_OTU22,CL22
Coriobacteriaceae_OTU27,CO27
Corynebacterium_cluster 45,C45
Dialister_cluster 51,Dcl51
Dialister_micraerophilus,Dmic
Dialister_propionicifaciens,Dppf
Finegoldia_magna,Fmag
Gardnerella_vaginalis,Gvag
Lachnospiraceae_BVAB1,BVAB1
Lactobacillus coleohominis,Lcol
Lactobacillus_crispatus_cluster,Lcricl
Lactobacillus_cripatus_cluster,Lcricl
Lactobacillus_crispatus_cluster,Lcricl
Lactobacillus_gasseri cluster,Lgas
Lactobacillus_gasseri_cluster,Lgas
Lactobacillus_iners,Line
Lactobacillus_jensenii,Ljen
Lactobacillus_vaginalis,Lvag
Megasphaera_type1_OTU70,Mty1
Megasphaera_type2_OTU71 ,Mty2
Megasphaera_OTU70_type1,Mty1
Mycoplasma_hominis,Mhom
Parvimonas_OTU142,P142
Porphyromonas_bennonis,Pben
Prevotella_amnii,Pamn
Prevotella_bivia,Pbiv
Prevotella cluster 2 (Note: contains P. timonensis),Pcl2
Prevotella_cluster 50,P50
Prevotella_corporis,Pcor
Prevotella_OTU49,P49
Prevotella_timonensis,Ptim
Prevotellaceae_OTU61,PR61
Sneathia_amnii,Samn
Sneathia_sanguinegens,Ssan
Staphylococcus_cluster 47,S47
Streptococcus_anginosus,Sang
Streptococcus_cluster 29,Strepcl29
Streptococcus_salivarius cluster,Ssalcl
TM7-H1,TM7-H1
Ureaplasma_luster23,Ucl23
Lachnospiraceae_BVAB1,BVAB1
Prevotella_cluster2,Pcl2
Megasphaera_OTU70 type1,Mty1
Sneathia_amnii,Samn
TM7_OTU-H1,TM7
Dialister_cluster51,Dcl51
Prevotella_amnii,Pamn
Clostridiales_BVAB2,BVAB2
Dialister_micraerophilus,Dmic
Parvimonas_OTU142,P142
Mobiluncus_curtisii,Mblc
Ureaplasma_cluster23,Ucl23